fec;pet;eur;oro;dol;c18;c36;ibe
281118;58.76;3718;1260.2;3250.56;47.343;51.297;9102.7
291118;59.51;3690.5;1260.8;3274.47;47.551;51.464;9098.9
301118;58.71;3660;1256.5;3240.02;47.747;51.63;9077.2
11218;58.97;3660;1256.63;3235.27;47.905;51.781;9130.69
21218;60.37;3683.2;1261.68;3235.27;47.998;51.909;9199.9
31218;61.69;3621;1270.2;3235.27;48;52;9179.6
41218;62.08;3603.5;1277.4;3196.15;47.895;52.048;9061.7
51218;61.56;3584.5;1273.4;3174.11;47.712;52.061;9012.2
61218;60.06;3624.5;1274.3;3162.29;47.49;52.05;8764.5
71218;61.67;3582.5;1283.6;3187.86;47.269;52.027;8815.5
81218;61.96;3582.5;1287.15;3153.29;47.087;52.003;8809.18
91218;60.82;3625.9;1284.55;3153.29;46.984;51.99;8713.13
101218;59.97;3624;1280;3153.29;47;52;8660
111218;60.2;3606;1278.1;3176.12;47.16;52.042;8735.5
121218;60.15;3603;1281;3184.7;47.435;52.117;8853.4
131218;61.45;3613.5;1278.4;3169.36;47.78;52.227;8926.3
141218;60.28;3613.5;1272.2;3178.4;48.153;52.37;8886.1
151218;60.42;3613.5;1272.38;3196.3;48.509;52.547;8879.1
161218;61.09;3588.1;1277.46;3196.3;48.806;52.757;8882.39
171218;59.61;3608.5;1282.6;3196.3;49;53;8812.5
181218;56.26;3643;1284;3188.66;49.059;53.272;8700.8
191218;57.24;3662;1286.8;3198.45;49.001;53.548;8769.1
201218;54.35;3743;1298.6;3216.55;48.856;53.801;8596.5
211218;53.82;3746.5;1288.6;3246.86;48.654;54.001;8556.8
221218;52.47;3746.5;1297.37;3285.34;48.424;54.12;8559.25
231218;50.6;3727;1312.71;3285.34;48.196;54.129;8536.73
241218;50.47;3756;1302.4;3285.34;48;54;8480.6
251218;53.1;3743.5;1270.75;3285.51;47.86;53.719;8394.82
261218;54.47;3729.5;1303.7;3285.51;47.776;53.334;8333.65
271218;52.16;3744.5;1311.9;3289.69;47.743;52.906;8363.9
281218;52.2;3716;1313.7;3275.01;47.754;52.496;8493.7
291218;52.89;3716;1324.22;3249.75;47.805;52.168;8554.17
